Experiment,model_name,filters_block1,filters_block2,filters_block3,filters_block4,dense_units,batch_size,epochs_planned,epochs_trained,best_epoch,initial_learning_rate,final_learning_rate,lr_reduced,total_params,best_train_acc,best_val_acc,overfit_gap_best,test_acc,test_loss
1,deep_baseline,32,64,128,256,256,32,50,50,46,0.001,9.999999747378752e-05,True,1240618,0.8289999961853027,0.8069999814033508,0.022000014781951904,0.7989000082015991,0.6176912188529968
2,deep_wider,64,128,256,512,256,32,50,26,1,0.001,9.999999747378752e-05,True,4819274,0.10012499988079071,0.09799999743700027,0.002125002443790436,0.10000000149011612,2.3025996685028076
4,deep_small,16,32,64,128,128,32,70,6,1,0.001,0.0003000000142492354,True,329114,0.09747499972581863,0.09799999743700027,-0.0005249977111816406,0.10000000149011612,2.302663564682007
6,deep_low_lr,32,64,128,256,256,32,80,31,30,0.0005,9.999999747378752e-05,True,1240618,0.8915500044822693,0.8370000123977661,0.054549992084503174,0.8312000036239624,0.550574004650116
7,deep_baseline_lr,32,64,128,256,256,32,80,25,25,0.0005,9.999999747378752e-05,True,1240618,0.8846499919891357,0.8309000134468079,0.05374997854232788,0.816100001335144,0.5642085075378418
